Iteration,Cost,GradientNorm,StepNorm,TrustRegionRadius
0,3292.93,930.695,0,0.1
1,2769.1,845.542,2.02674,0.3
2,1754.19,649.752,4.59171,0.9
3,692.27,342.276,7.04484,2.7
0,692.27,342.276,0,0.1
1,621.528,311.247,0.709503,0.3
2,483.487,239.778,1.63229,0.9
3,336.435,127.067,2.63535,2.7
0,336.435,127.067,0,0.1
1,326.521,115.683,0.268593,0.3
2,306.954,89.4035,0.639601,0.9
3,285.519,47.7348,1.12475,2.7
0,285.519,47.7348,0,0.1
1,284.047,43.5219,0.116456,0.3
2,281.094,33.7681,0.288593,0.9
3,277.728,18.1968,0.545835,2.7
0,277.728,18.1968,0,0.1
1,277.491,16.6204,0.0571072,0.3
2,277.005,12.9575,0.144843,0.9
3,276.424,7.06018,0.283005,2.7
